Source,Author,Work,Work Label,Edition,Place of Production,Year of Publication,Language Code
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000013178,Paris,1809,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000398030,Murcia,D.L. 1993,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX1924290,La cueva de Salamanca,https://datos.bne.es/resource/bimo0002046013,Granada,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001661915,Tokio,1993,http://id.loc.gov/vocabulary/languages/jpn
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX4894754,El celoso extremeño,https://datos.bne.es/resource/a5599310,S.l,1917?,http://id.loc.gov/vocabulary/languages/rus
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX1924374,El viejo celoso,https://datos.bne.es/resource/a5610044,S.l.,19--,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5612044,Paris,ca. 1930,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029111,A Amsterdam et Leipzig,1768,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5521349,A Paris,1625,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5521388,A Paris,1640,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5524301,A Paris,1775-1777,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5524844,A Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5532189,A Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5532798,Paris,1776-1788,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3132461,La ilustre fregona,https://datos.bne.es/resource/a5524137,Saint-Félicien,1945,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5521316,S.l.,16--,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5824329,A Paris,1614-1615,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029102,A Amsterdam,1705,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029103,Amsterdam,1707,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029104,Paris,1707,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029105,Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029108,& se vend a Paris,1723,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029108,Rouen,1723,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029109,A Amsterdam,1731,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029110,Lausanne,1759,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029113,Paris,1775-1788,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000030013,A Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001800231,Paris,2000,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001800234,Paris,2001,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX1924290,La cueva de Salamanca,https://datos.bne.es/resource/a5160535,Sagunto,imp. 2011,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029112,Amsterdam,1768,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029112,et a Leipzig,1768,http://id.loc.gov/vocabulary/languages/fre
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000011708,Madrid,D.L. 1987,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000030269,Madrid,1986,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001382437,Barcelona,1999,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000052385,Madrid,1987,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000413395,Barcelona,D.L. 1994,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000035916,La Habana?,1960,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001802164,Barcelona,2002,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000398920,Barcelona,D.L. 1994,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000032956,Madrid,1985,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001666122,Madrid,2000,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000046944,"lzira, Valencia",D.L. 1988,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000513081,Barcelona,1996,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001954069,Barcelona,2002,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000528548,Madrid,1996,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001657194,Barcelona,2000,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000059980,Madrid,D.L. 1988,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001658604,Newark Delaware,cop. 1998-,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001383001,Oviedo,1999,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000055657,Barcelona,D.L. 1988-,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001657365,S.l.,2000,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000530214,Barcelona,1996,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001669903,Barcelona,2000,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000526825,Madrid,D.L. 1996,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001657096,Barcelona,2000,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002106766,Salamanca,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002103670,Lugo,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002119725,Madrid,2006,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002094679,Ourense,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002111220,Valencia,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002104770,Barcelona,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002092189,Jaén,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002107484,Mijas,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002103864,Madrid,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002112754,Madrid,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002101713,Ourense,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002104784,Gijón,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5599330,"Colombo, Sri Lanka",1999,http://id.loc.gov/vocabulary/languages/sin
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5610550,Madrid,2015,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5006217,Madrid,D.L. 2010,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5677280,Méjico,1904,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002222950,Melilla,2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5217148,Madrid,D.L. 2011,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002220596,Pozuelo de Alarcón Madrid,2007,http://id.loc.gov/vocabulary/languages/spa
