source,author,authorLabel,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000013178,Paris,1809,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000398030,[Murcia,D.L. 1993,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX1924290,La cueva de Salamanca,https://datos.bne.es/resource/bimo0002046013,[Granada],2005,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001661915,[Tokio,1993],http://id.loc.gov/vocabulary/languages/jpn
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX4894754,El celoso extremeño,https://datos.bne.es/resource/a5599310,[S.l],[1917?],http://id.loc.gov/vocabulary/languages/rus
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX1924374,El viejo celoso,https://datos.bne.es/resource/a5610044,[S.l.],[19--],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5612044,Paris,[ca. 1930],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029111,A Amsterdam et Leipzig,1768,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5521349,A Paris,1625,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5521388,A Paris,1640,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5524301,A Paris,1775-1777,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5524844,A Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5532189,A Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5532798,Paris,1776-1788,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3132461,La ilustre fregona,https://datos.bne.es/resource/a5524137,[Saint-Félicien] , 1945,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5521316,[S.l.],[16--],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/a5824329,A Paris,1614-1615,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029102,A Amsterdam,1705,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029103,Amsterdam,1707,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029104, Paris,1707,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029105, Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029108,& se vend a Paris,1723,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029108, Rouen,1723,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029109,A Amsterdam,1731,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029110,Lausanne,1759,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000029113,Paris,1775-1788,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/bima0000030013,A Amsterdam,1709,http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001800231,[Paris],[2000],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383764,Novelas ejemplares,https://datos.bne.es/resource/Mimo0001800234,[Paris],[2001],http://id.loc.gov/vocabulary/languages/fre
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX1924290,La cueva de Salamanca,https://datos.bne.es/resource/a5160535,[Sagunto],imp. 2011,http://id.loc.gov/vocabulary/languages/spa
