source,author,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0000126542,Madrid,1980,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0001593058,Barcelona,[1973],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2823015,El juez de su causa,https://datos.bne.es/resource/bimo0001593059,Madrid,1943,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2823015,El juez de su causa,https://datos.bne.es/resource/bimo0001593060,Madrid,1932,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0001593061,París,1847,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0001593063,Barcelona,[1973],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0001593064,Madrid,[1968],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2931426,Aventurarse perdiendo,https://datos.bne.es/resource/bimo0001593221,Barcelona,[1940],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/Mimo0001382849,[Barcelona],[1999],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/Mimo0001654380,Madrid,[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/Mimo0001669817,Madrid,[2001],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237529,La traición en la amistad,https://datos.bne.es/resource/bimo0001525772,Verona,1983,http://id.loc.gov/vocabulary/languages/ita
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/FF3353256,Pozuelo de Alarcón,2007,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/a4523833,Chicago ;,cop. 2009,http://id.loc.gov/vocabulary/languages/eng
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/a4523833,London,cop. 2009,http://id.loc.gov/vocabulary/languages/eng
BNE,María de Zayas,https://datos.bne.es/resource/XX2237528,Parte segunda del Sarao y entretenimiento honesto,https://datos.bne.es/resource/a4624100,"Albany, NY",cop. 1997,http://id.loc.gov/vocabulary/languages/eng
BNE,María de Zayas,https://datos.bne.es/resource/XX2237529,La traición en la amistad,https://datos.bne.es/resource/a7120360,"Zaragoza, España",[2022],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237529,La traición en la amistad,https://datos.bne.es/resource/bimo0000436388,Madrid,D.L. 1994,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/a4586955,Barcelona,[1736?],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0000050909,[Barcelona],1987,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0000078593,[Barcelona],1988,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/bimo0000460649,[Barcelona],D.L. 1994,http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/Mimo0001593065,Madrid,[1965],http://id.loc.gov/vocabulary/languages/spa
BNE,María de Zayas,https://datos.bne.es/resource/XX2237525,Novelas amorosas y ejemplares,https://datos.bne.es/resource/Mimo0001593222,Madrid,[1965],http://id.loc.gov/vocabulary/languages/spa
